grade,semester,unit,word,phonetic,pos,meaning,difficulty,tags
3,下,Unit3,toy,/tɔɪ/,n.,玩具,1,玩具
3,下,Unit3,box,/bɒks/,n.,盒子,1,物品
3,下,Unit3,where,/weə(r)/,adv.,在哪里,1,疑问词
3,下,Unit4,peach,/piːtʃ/,n.,桃子,1,水果
3,下,Unit4,pear,/peə(r)/,n.,梨,1,水果
3,下,Unit4,apple,/ˈæpl/,n.,苹果,1,水果
3,下,Unit4,banana,/bəˈnɑːnə/,n.,香蕉,1,水果
3,下,Unit4,watermelon,/ˈwɔːtəmelən/,n.,西瓜,1,水果
3,下,Unit4,strawberry,/ˈstrɔːbəri/,n.,草莓,1,水果
3,下,Unit4,grape,/ɡreɪp/,n.,葡萄,1,水果
3,下,Unit4,fruit,/fruːt/,n.,水果,1,食物
3,下,Unit4,like,/laɪk/,v.,喜欢,1,动作
3,下,Unit4,some,/sʌm/,det.,一些,1,数量
3,下,Unit4,please,/pliːz/,int.,请,1,礼貌
3,下,Unit4,thank,/θæŋk/,v.,谢谢,1,礼貌
3,下,Unit5,bus,/bʌs/,n.,公共汽车,1,交通
3,下,Unit5,bike,/baɪk/,n.,自行车,1,交通
3,下,Unit5,taxi,/ˈtæksi/,n.,出租车,1,交通
3,下,Unit5,jeep,/dʒiːp/,n.,吉普车,1,交通
3,下,Unit5,eleven,/ɪˈlevn/,num.,十一,1,数字
3,下,Unit5,twelve,/twelv/,num.,十二,1,数字
3,下,Unit5,thirteen,/ˌθɜːˈtiːn/,num.,十三,1,数字
3,下,Unit5,fourteen,/ˌfɔːˈtiːn/,num.,十四,1,数字
3,下,Unit5,fifteen,/ˌfɪfˈtiːn/,num.,十五,1,数字
3,下,Unit5,sixteen,/ˌsɪksˈtiːn/,num.,十六,1,数字
3,下,Unit5,seventeen,/ˌsevnˈtiːn/,num.,十七,1,数字
3,下,Unit5,eighteen,/ˌeɪˈtiːn/,num.,十八,1,数字
3,下,Unit5,nineteen,/ˌnaɪnˈtiːn/,num.,十九,1,数字
3,下,Unit5,twenty,/ˈtwenti/,num.,二十,1,数字
3,下,Unit6,rainbow,/ˈreɪnbəʊ/,n.,彩虹,1,自然
3,下,Unit6,pick,/pɪk/,v.,采摘,1,动作
3,下,Unit6,draw,/drɔː/,v.,画,1,动作
3,下,Recycle,beautiful,/ˈbjuːtɪfl/,adj.,美丽的,1,形容词
3,下,Recycle,happy,/ˈhæpi/,adj.,高兴的,1,形容词
4,上,Unit1,classroom,/ˈklɑːsruːm/,n.,教室,2,学校
4,上,Unit1,window,/ˈwɪndəʊ/,n.,窗户,2,学校
4,上,Unit1,blackboard,/ˈblækbɔːd/,n.,黑板,2,学校
4,上,Unit1,light,/laɪt/,n.,电灯,2,学校
4,上,Unit1,picture,/ˈpɪktʃə(r)/,n.,图画；照片,2,学校
4,上,Unit1,door,/dɔː(r)/,n.,门,2,学校
4,上,Unit1,floor,/flɔː(r)/,n.,地板,2,学校
4,上,Unit1,wall,/wɔːl/,n.,墙,2,学校
4,上,Unit1,fan,/fæn/,n.,风扇,2,学校
4,上,Unit1,computer,/kəmˈpjuːtə(r)/,n.,计算机,2,学校
4,上,Unit1,clean,/kliːn/,v.,打扫；擦干净,2,动作
4,上,Unit2,schoolbag,/ˈskuːlbæɡ/,n.,书包,2,学校
4,上,Unit2,maths,/mæθs/,n.,数学,2,学科
4,上,Unit2,English,/ˈɪŋɡlɪʃ/,n.,英语,2,学科
4,上,Unit2,Chinese,/ˌtʃaɪˈniːz/,n.,语文；中文,2,学科
4,上,Unit2,story,/ˈstɔːri/,n.,故事,2,学校
4,上,Unit2,candy,/ˈkændi/,n.,糖果,2,食物
4,上,Unit2,notebook,/ˈnəʊtbʊk/,n.,笔记本,2,文具
4,上,Unit2,key,/kiː/,n.,钥匙,2,物品
4,上,Unit2,lost,/lɒst/,adj.,丢失的,2,形容词
4,上,Unit3,strong,/strɒŋ/,adj.,强壮的,2,形容词
4,上,Unit3,friendly,/ˈfrendli/,adj.,友好的,2,形容词
4,上,Unit3,quiet,/ˈkwaɪət/,adj.,安静的,2,形容词
4,上,Unit3,hair,/heə(r)/,n.,头发,2,身体
4,上,Unit3,shoe,/ʃuː/,n.,鞋,2,衣物
4,上,Unit3,glasses,/ˈɡlɑːsɪz/,n.,眼镜,2,衣物
4,上,Unit3,his,/hɪz/,pron.,他的,2,代词
4,上,Unit3,her,/hɜː(r)/,pron.,她的,2,代词
4,上,Unit3,right,/raɪt/,adj.,正确的,2,形容词
4,上,Unit3,hat,/hæt/,n.,帽子,2,衣物
4,上,Unit4,bedroom,/ˈbedruːm/,n.,卧室,2,家庭
4,上,Unit4,living room,/ˈlɪvɪŋ ruːm/,n.,客厅,2,家庭
4,上,Unit4,study,/ˈstʌdi/,n.,书房,2,家庭
4,上,Unit4,kitchen,/ˈkɪtʃɪn/,n.,厨房,2,家庭
4,上,Unit4,bathroom,/ˈbɑːθruːm/,n.,浴室；卫生间,2,家庭
4,上,Unit4,bed,/bed/,n.,床,2,家具
4,上,Unit4,phone,/fəʊn/,n.,电话,2,家具
4,上,Unit4,table,/ˈteɪbl/,n.,桌子,2,家具
4,上,Unit4,sofa,/ˈsəʊfə/,n.,沙发,2,家具
4,上,Unit4,fridge,/frɪdʒ/,n.,冰箱,2,家具
4,上,Unit4,home,/həʊm/,n.,家,2,家庭
4,上,Unit4,room,/ruːm/,n.,房间,2,家庭
4,上,Unit5,beef,/biːf/,n.,牛肉,2,食物
4,上,Unit5,chicken,/ˈtʃɪkɪn/,n.,鸡肉,2,食物
4,上,Unit5,noodles,/ˈnuːdlz/,n.,面条,2,食物
4,上,Unit5,soup,/suːp/,n.,汤,2,食物
4,上,Unit5,vegetable,/ˈvedʒtəbl/,n.,蔬菜,2,食物
4,上,Unit5,chopsticks,/ˈtʃɒpstɪks/,n.,筷子,2,餐具
4,上,Unit5,bowl,/bəʊl/,n.,碗,2,餐具
4,上,Unit5,fork,/fɔːk/,n.,餐叉,2,餐具
4,上,Unit5,knife,/naɪf/,n.,刀,2,餐具
4,上,Unit5,spoon,/spuːn/,n.,勺,2,餐具
4,上,Unit5,dinner,/ˈdɪnə(r)/,n.,正餐；晚餐,2,食物
4,上,Unit5,breakfast,/ˈbrekfəst/,n.,早餐,2,食物
4,上,Unit5,lunch,/lʌntʃ/,n.,午餐,2,食物
4,上,Unit5,hungry,/ˈhʌŋɡri/,adj.,饥饿的,2,形容词
4,上,Unit5,eat,/iːt/,v.,吃,2,动作
4,上,Unit5,drink,/drɪŋk/,v.,喝,2,动作
4,上,Unit6,parents,/ˈpeərənts/,n.,父母,2,家庭
4,上,Unit6,cousin,/ˈkʌzn/,n.,同辈表亲,2,家庭
4,上,Unit6,uncle,/ˈʌŋkl/,n.,舅父；叔父,2,家庭
4,上,Unit6,aunt,/ɑːnt/,n.,姑母；姨母,2,家庭
4,上,Unit6,baby,/ˈbeɪbi/,n.,婴儿,2,家庭
4,上,Unit6,doctor,/ˈdɒktə(r)/,n.,医生,2,职业
4,上,Unit6,cook,/kʊk/,n.,厨师,2,职业
4,上,Unit6,driver,/ˈdraɪvə(r)/,n.,司机,2,职业
4,上,Unit6,farmer,/ˈfɑːmə(r)/,n.,农民,2,职业
4,上,Unit6,nurse,/nɜːs/,n.,护士,2,职业
4,上,Unit6,people,/ˈpiːpl/,n.,人们,2,人物
4,上,Unit6,but,/bʌt/,conj.,但是,2,连词
4,上,Unit6,little,/ˈlɪtl/,adj.,小的；年幼的,2,形容词
4,上,Unit6,puppy,/ˈpʌpi/,n.,小狗,2,动物
4,下,Unit1,first floor,/fɜːst flɔː/,phr.,一楼,2,学校
4,下,Unit1,second floor,/ˈsekənd flɔː/,phr.,二楼,2,学校
4,下,Unit1,library,/ˈlaɪbrəri/,n.,图书馆,2,场所
4,下,Unit1,playground,/ˈpleɪɡraʊnd/,n.,操场,2,学校
4,下,Unit1,next to,/nekst tuː/,prep.,紧挨着,2,方位
4,下,Unit1,homework,/ˈhəʊmwɜːk/,n.,作业,2,学校
4,下,Unit1,class,/klɑːs/,n.,班级；课,2,学校
4,下,Unit1,forty,/ˈfɔːti/,num.,四十,2,数字
4,下,Unit1,way,/weɪ/,n.,路；方向,2,方位
4,下,Unit2,o'clock,/əˈklɒk/,adv.,……点钟,2,时间
4,下,Unit2,kid,/kɪd/,n.,小孩,2,人物
4,下,Unit2,thirty,/ˈθɜːti/,num.,三十,2,数字
4,下,Unit2,hurry,/ˈhʌri/,v.,匆忙,2,动作
4,下,Unit2,just,/dʒʌst/,adv.,只是；恰好,2,副词
4,下,Unit2,now,/naʊ/,adv.,现在,2,时间
4,下,Unit3,cold,/kəʊld/,adj.,寒冷的,2,天气
4,下,Unit3,cool,/kuːl/,adj.,凉爽的,2,天气
4,下,Unit3,warm,/wɔːm/,adj.,温暖的,2,天气
4,下,Unit3,hot,/hɒt/,adj.,炎热的,2,天气
4,下,Unit3,sunny,/ˈsʌni/,adj.,阳光充足的,2,天气
4,下,Unit3,windy,/ˈwɪndi/,adj.,多风的,2,天气
4,下,Unit3,cloudy,/ˈklaʊdi/,adj.,多云的,2,天气
4,下,Unit3,rainy,/ˈreɪni/,adj.,多雨的,2,天气
4,下,Unit3,snowy,/ˈsnəʊi/,adj.,下雪的,2,天气
4,下,Unit3,weather,/ˈweðə(r)/,n.,天气,2,天气
4,下,Unit3,world,/wɜːld/,n.,世界,2,自然
4,下,Unit3,love,/lʌv/,v.,爱,2,动作
4,下,Unit3,outside,/ˌaʊtˈsaɪd/,adv.,在外面,2,方位
4,下,Unit4,tomato,/təˈmɑːtəʊ/,n.,西红柿,2,食物
4,下,Unit4,potato,/pəˈteɪtəʊ/,n.,土豆,2,食物
4,下,Unit4,carrot,/ˈkærət/,n.,胡萝卜,2,食物
4,下,Unit4,horse,/hɔːs/,n.,马,2,动物
4,下,Unit4,cow,/kaʊ/,n.,母牛；奶牛,2,动物
4,下,Unit4,sheep,/ʃiːp/,n.,绵羊,2,动物
4,下,Unit4,hen,/hen/,n.,母鸡,2,动物
4,下,Unit4,these,/ðiːz/,pron.,这些,2,代词
4,下,Unit4,those,/ðəʊz/,pron.,那些,2,代词
4,下,Unit4,animal,/ˈænɪml/,n.,动物,2,动物
4,下,Unit4,farm,/fɑːm/,n.,农场,2,场所
4,下,Unit4,goat,/ɡəʊt/,n.,山羊,2,动物
4,下,Unit4,lamb,/læm/,n.,小羊；羊羔,2,动物
4,下,Unit5,glove,/ɡlʌv/,n.,手套,2,衣物
4,下,Unit5,scarf,/skɑːf/,n.,围巾,2,衣物
4,下,Unit5,umbrella,/ʌmˈbrelə/,n.,雨伞,2,衣物
4,下,Unit5,sunglasses,/ˈsʌnɡlɑːsɪz/,n.,太阳镜,2,衣物
4,下,Unit5,size,/saɪz/,n.,尺码,2,衣物
4,下,Unit5,try,/traɪ/,v.,试穿,2,动作
4,下,Unit5,expensive,/ɪkˈspensɪv/,adj.,昂贵的,2,形容词
4,下,Unit5,cheap,/tʃiːp/,adj.,便宜的,2,形容词
4,下,Unit5,nice,/naɪs/,adj.,美好的,2,形容词
4,下,Unit5,shirt,/ʃɜːt/,n.,衬衫,2,衣物
4,下,Unit5,skirt,/skɜːt/,n.,女裙,2,衣物
4,下,Unit5,dress,/dres/,n.,连衣裙,2,衣物
4,下,Unit5,jacket,/ˈdʒækɪt/,n.,夹克衫,2,衣物
4,下,Unit5,sweater,/ˈswetə(r)/,n.,毛衣,2,衣物
4,下,Unit5,sock,/sɒk/,n.,短袜,2,衣物
4,下,Unit5,shorts,/ʃɔːts/,n.,短裤,2,衣物
4,下,Unit5,pants,/pænts/,n.,裤子,2,衣物
4,下,Unit5,jeans,/dʒiːnz/,n.,牛仔裤,2,衣物
4,下,Unit6,pretty,/ˈprɪti/,adj.,漂亮的,2,形容词
4,下,Unit6,colourful,/ˈkʌləfl/,adj.,色彩丰富的,2,形容词
4,下,Recycle,spring,/sprɪŋ/,n.,春天,2,季节
4,下,Recycle,summer,/ˈsʌmə(r)/,n.,夏天,2,季节
4,下,Recycle,autumn,/ˈɔːtəm/,n.,秋天,2,季节
4,下,Recycle,winter,/ˈwɪntə(r)/,n.,冬天,2,季节
4,下,Recycle,season,/ˈsiːzn/,n.,季节,2,季节
4,下,Recycle,year,/jɪə(r)/,n.,年,2,时间
4,下,Recycle,month,/mʌnθ/,n.,月份,2,时间
4,下,Recycle,week,/wiːk/,n.,星期；周,2,时间
4,下,Recycle,day,/deɪ/,n.,天；日,2,时间
4,下,Recycle,today,/təˈdeɪ/,n.,今天,2,时间
4,下,Recycle,tomorrow,/təˈmɒrəʊ/,n.,明天,2,时间
4,下,Recycle,yesterday,/ˈjestədeɪ/,n.,昨天,2,时间
5,上,Unit1,old,/əʊld/,adj.,年老的,3,形容词
5,上,Unit1,young,/jʌŋ/,adj.,年轻的,3,形容词
5,上,Unit1,kind,/kaɪnd/,adj.,和蔼的,3,形容词
5,上,Unit1,strict,/strɪkt/,adj.,严格的,3,形容词
5,上,Unit1,polite,/pəˈlaɪt/,adj.,有礼貌的,3,形容词
5,上,Unit1,helpful,/ˈhelpfl/,adj.,有帮助的,3,形容词
5,上,Unit1,clever,/ˈklevə(r)/,adj.,聪明的,3,形容词
5,上,Unit1,shy,/ʃaɪ/,adj.,害羞的,3,形容词
5,上,Unit1,know,/nəʊ/,v.,知道,3,动作
5,上,Unit1,our,/ˈaʊə(r)/,pron.,我们的,3,代词
5,上,Unit1,will,/wɪl/,v.,将要,3,助动词
5,上,Unit1,sometimes,/ˈsʌmtaɪmz/,adv.,有时,3,副词
5,上,Unit1,robot,/ˈrəʊbɒt/,n.,机器人,3,科技
5,上,Unit2,Monday,/ˈmʌndeɪ/,n.,星期一,3,星期
5,上,Unit2,Tuesday,/ˈtjuːzdeɪ/,n.,星期二,3,星期
5,上,Unit2,Wednesday,/ˈwenzdeɪ/,n.,星期三,3,星期
5,上,Unit2,Thursday,/ˈθɜːzdeɪ/,n.,星期四,3,星期
5,上,Unit2,Friday,/ˈfraɪdeɪ/,n.,星期五,3,星期
5,上,Unit2,Saturday,/ˈsætədeɪ/,n.,星期六,3,星期
5,上,Unit2,Sunday,/ˈsʌndeɪ/,n.,星期日,3,星期
5,上,Unit2,weekend,/ˌwiːkˈend/,n.,周末,3,时间
5,上,Unit2,wash,/wɒʃ/,v.,洗,3,动作
5,上,Unit2,watch,/wɒtʃ/,v.,观看,3,动作
5,上,Unit2,read,/riːd/,v.,读,3,动作
5,上,Unit2,play,/pleɪ/,v.,玩；踢,3,动作
5,上,Unit2,often,/ˈɒfn/,adv.,常常,3,副词
5,上,Unit2,usually,/ˈjuːʒuəli/,adv.,通常,3,副词
5,上,Unit3,sandwich,/ˈsænwɪtʃ/,n.,三明治,3,食物
5,上,Unit3,salad,/ˈsæləd/,n.,沙拉,3,食物
5,上,Unit3,hamburger,/ˈhæmbɜːɡə(r)/,n.,汉堡包,3,食物
5,上,Unit3,tea,/tiː/,n.,茶,3,饮料
5,上,Unit3,fresh,/freʃ/,adj.,新鲜的,3,形容词
5,上,Unit3,healthy,/ˈhelθi/,adj.,健康的,3,形容词
5,上,Unit3,delicious,/dɪˈlɪʃəs/,adj.,美味的,3,形容词
5,上,Unit3,sweet,/swiːt/,adj.,甜的,3,形容词
5,上,Unit3,favourite,/ˈfeɪvərɪt/,adj.,最喜爱的,3,形容词
5,上,Unit3,food,/fuːd/,n.,食物,3,食物
5,上,Unit3,thirsty,/ˈθɜːsti/,adj.,渴的,3,形容词
5,上,Unit4,sing,/sɪŋ/,v.,唱,3,动作
5,上,Unit4,song,/sɒŋ/,n.,歌曲,3,音乐
5,上,Unit4,dance,/dɑːns/,v.,跳舞,3,动作
5,上,Unit4,cartoon,/kɑːˈtuːn/,n.,漫画；动画片,3,娱乐
5,上,Unit4,swim,/swɪm/,v.,游泳,3,动作
5,上,Unit4,party,/ˈpɑːti/,n.,聚会,3,活动
5,上,Unit4,wonderful,/ˈwʌndəfl/,adj.,极好的,3,形容词
5,上,Unit4,learn,/lɜːn/,v.,学习,3,动作
5,上,Unit4,any,/ˈeni/,det.,任何的,3,数量
5,上,Unit4,problem,/ˈprɒbləm/,n.,问题,3,常用词
5,上,Unit5,clock,/klɒk/,n.,时钟,3,家具
5,上,Unit5,plant,/plɑːnt/,n.,植物,3,自然
5,上,Unit5,bottle,/ˈbɒtl/,n.,瓶子,3,物品
5,上,Unit5,photo,/ˈfəʊtəʊ/,n.,照片,3,物品
5,上,Unit5,front,/frʌnt/,n.,正面,3,方位
5,上,Unit5,between,/bɪˈtwiːn/,prep.,在……之间,3,方位
5,上,Unit5,above,/əˈbʌv/,prep.,在……上面,3,方位
5,上,Unit5,behind,/bɪˈhaɪnd/,prep.,在……后面,3,方位
5,上,Unit5,beside,/bɪˈsaɪd/,prep.,在……旁边,3,方位
5,上,Unit5,there,/ðeə(r)/,adv.,在那里,3,方位
5,上,Unit5,here,/hɪə(r)/,adv.,在这里,3,方位
5,上,Unit5,house,/haʊs/,n.,房子,3,家庭
5,上,Unit5,dirty,/ˈdɜːti/,adj.,脏的,3,形容词
5,上,Unit6,nature,/ˈneɪtʃə(r)/,n.,自然,3,自然
5,上,Unit6,forest,/ˈfɒrɪst/,n.,森林,3,自然
5,上,Unit6,river,/ˈrɪvə(r)/,n.,河流,3,自然
5,上,Unit6,lake,/leɪk/,n.,湖泊,3,自然
5,上,Unit6,mountain,/ˈmaʊntən/,n.,高山,3,自然
5,上,Unit6,hill,/hɪl/,n.,小山,3,自然
5,上,Unit6,tree,/triː/,n.,树,3,自然
5,上,Unit6,bridge,/brɪdʒ/,n.,桥,3,自然
5,上,Unit6,building,/ˈbɪldɪŋ/,n.,建筑物,3,场所
5,上,Unit6,village,/ˈvɪlɪdʒ/,n.,村庄,3,场所
5,上,Recycle,take,/teɪk/,v.,取；带,3,动作
5,上,Recycle,dancing,/ˈdɑːnsɪŋ/,n.,跳舞,3,活动
5,下,Unit1,when,/wen/,adv.,什么时候,3,疑问词
5,下,Unit1,after,/ˈɑːftə(r)/,prep.,在……之后,3,方位
5,下,Unit1,start,/stɑːt/,v.,开始,3,动作
5,下,Unit1,late,/leɪt/,adv.,晚,3,副词
5,下,Unit1,why,/waɪ/,adv.,为什么,3,疑问词
5,下,Unit1,shop,/ʃɒp/,v.,购物,3,动作
5,下,Unit1,also,/ˈɔːlsəʊ/,adv.,也,3,副词
5,下,Unit2,which,/wɪtʃ/,pron.,哪一个,3,疑问词
5,下,Unit2,best,/best/,adv.,最,3,副词
5,下,Unit2,snowman,/ˈsnəʊmæn/,n.,雪人,3,自然
5,下,Unit2,because,/bɪˈkɒz/,conj.,因为,3,连词
5,下,Unit2,vacation,/vəˈkeɪʃn/,n.,假期,3,时间
5,下,Unit3,January,/ˈdʒænjuəri/,n.,一月,3,月份
5,下,Unit3,February,/ˈfebruəri/,n.,二月,3,月份
5,下,Unit3,March,/mɑːtʃ/,n.,三月,3,月份
5,下,Unit3,April,/ˈeɪprəl/,n.,四月,3,月份
5,下,Unit3,May,/meɪ/,n.,五月,3,月份
5,下,Unit3,June,/dʒuːn/,n.,六月,3,月份
5,下,Unit3,July,/dʒuˈlaɪ/,n.,七月,3,月份
5,下,Unit3,August,/ˈɔːɡəst/,n.,八月,3,月份
5,下,Unit3,September,/sepˈtembə(r)/,n.,九月,3,月份
5,下,Unit3,October,/ɒkˈtəʊbə(r)/,n.,十月,3,月份
5,下,Unit3,November,/nəʊˈvembə(r)/,n.,十一月,3,月份
5,下,Unit3,December,/dɪˈsembə(r)/,n.,十二月,3,月份
5,下,Unit3,few,/fjuː/,det.,几个,3,数量
